study_name,cpt,wrvu,category,source
OB US < 14 Wks Single,76801,0.97,OB,orbit_cme_seed
OB US < 14 Wks Each Addl,76802,0.81,OB,orbit_cme_seed
OB US >= 14 Wks Single,76805,0.97,OB,orbit_cme_seed
OB US >= 14 Wks Each Addl,76810,0.96,OB,orbit_cme_seed
OB US Detailed (Anatomy Scan),76811,1.85,OB,orbit_cme_seed
OB US Detailed Each Addl,76812,1.74,OB,orbit_cme_seed
OB US Nuchal Translucency 1st,76813,1.15,OB,orbit_cme_seed
OB US Nuchal Translucency Each Addl,76814,0.97,OB,orbit_cme_seed
OB US Limited,76815,0.63,OB,orbit_cme_seed
OB US Follow-Up,76816,0.83,OB,orbit_cme_seed
OB US Transvaginal,76817,0.73,OB,orbit_cme_seed
Biophysical Profile w/ NST,76818,1.02,OB,orbit_cme_seed
Biophysical Profile w/o NST,76819,0.75,OB,orbit_cme_seed
Doppler Velocimetry Umbilical,76820,0.49,OB,orbit_cme_seed
Doppler Velocimetry Middle Cerebral,76821,0.68,CEREBRAL,orbit_cme_seed
Fetal Echo Complete,76825,1.63,OB,orbit_cme_seed
Fetal Echo Follow-Up,76826,0.81,OB,orbit_cme_seed
Fetal Echo Doppler,76827,0.57,OB,orbit_cme_seed
Fetal Echo Doppler Follow-Up,76828,0.55,OB,orbit_cme_seed
US Thyroid/Neck,76536,0.55,THYROID/NECK,orbit_cme_seed
US Breast Complete,76641,0.71,BREAST,orbit_cme_seed
US Breast Limited,76642,0.66,BREAST,orbit_cme_seed
US Chest,76604,0.58,CHEST,orbit_cme_seed
US MSK Joint Complete,76881,0.88,MSK,orbit_cme_seed
US MSK Soft Tissue Limited,76882,0.67,MSK,orbit_cme_seed
US MSK Nerve Comprehensive,76883,1.18,MSK,orbit_cme_seed
US Head (Echoencephalography),76506,0.61,PEDIATRIC,orbit_cme_seed
US Spinal Canal,76800,1.10,PEDIATRIC,orbit_cme_seed
US Infant Hips Dynamic,76885,0.72,PEDIATRIC,orbit_cme_seed
US Infant Hips Static,76886,0.60,PEDIATRIC,orbit_cme_seed
US Guidance Biopsy,76942,0.65,GUIDANCE,orbit_cme_seed
US Guidance Vascular Access,76937,0.29,GUIDANCE,orbit_cme_seed
US Guidance Tissue Ablation,76940,1.95,GUIDANCE,orbit_cme_seed
US Guidance Intraoperative,76998,0.89,GUIDANCE,orbit_cme_seed
Carotid Duplex US Bilateral,93880,0.78,CAROTID,orbit_cme_seed
Carotid Duplex US Unilateral/Limited,93882,0.49,CAROTID,orbit_cme_seed
Transcranial Doppler (TCD) Complete,93886,0.88,CAROTID,orbit_cme_seed
Transcranial Doppler (TCD) Limited,93888,0.71,CAROTID,orbit_cme_seed
TCD Emboli Detection w/o Injection,93892,1.12,CAROTID,orbit_cme_seed
TCD w/ Venous-Arterial Shunt,93893,1.12,CAROTID,orbit_cme_seed
Extremity Arterial 2 Levels,93922,0.24,ARTERIAL,orbit_cme_seed
Extremity Arterial 3+ Levels,93923,0.44,ARTERIAL,orbit_cme_seed
Lower Extremity Arterial Bilateral,93924,0.49,ARTERIAL,orbit_cme_seed
Lower Extremity Arterial Duplex Bilateral,93925,0.78,ARTERIAL,orbit_cme_seed
Lower Extremity Arterial Duplex Unilateral,93926,0.49,ARTERIAL,orbit_cme_seed
Upper Extremity Arterial Duplex Bilateral,93930,0.78,ARTERIAL,orbit_cme_seed
Upper Extremity Arterial Duplex Unilateral,93931,0.49,ARTERIAL,orbit_cme_seed
Lower Extremity Venous Duplex Bilateral,93970,0.68,VENOUS,orbit_cme_seed
Lower Extremity Venous Duplex Unilateral,93971,0.44,VENOUS,orbit_cme_seed
Duplex Abdomen/Pelvis/Retroperitoneal Complete,93975,1.13,VISCERAL,orbit_cme_seed
Duplex Abdomen/Pelvis/Retroperitoneal Limited,93976,0.78,VISCERAL,orbit_cme_seed
Duplex Aorta/IVC/Iliac Complete,93978,0.78,VISCERAL,orbit_cme_seed
Duplex Aorta/IVC/Iliac Unilateral,93979,0.49,VISCERAL,orbit_cme_seed
Duplex Hemodialysis Access Complete Bilateral,93985,0.78,VISCERAL,orbit_cme_seed
Duplex Hemodialysis Access Complete Unilateral,93986,0.49,VISCERAL,orbit_cme_seed
Duplex Dialysis Graft/Fistula,93990,0.49,VISCERAL,orbit_cme_seed
Penile Vascular Study Complete,93980,1.22,VISCERAL,orbit_cme_seed
Penile Vascular Study Follow-Up,93981,0.43,VISCERAL,orbit_cme_seed
Dx Mammogram Unilateral,77065,0.79,DIAGNOSTIC,orbit_cme_seed
Dx Mammogram Bilateral,77066,0.98,DIAGNOSTIC,orbit_cme_seed
Screening Mammogram Bilateral,77067,0.74,SCREENING,orbit_cme_seed
Breast Tomosynthesis (3D) Bi,77063,0.59,SCREENING,orbit_cme_seed
Mammary Ductogram,77053,0.35,DIAGNOSTIC,orbit_cme_seed
DXA Bone Density Axial,77080,0.20,DXA,orbit_cme_seed
DXA Bone Density Appendicular,77081,0.20,DXA,orbit_cme_seed
DXA w/ VFA,77085,0.29,DXA,orbit_cme_seed
VFA via DXA,77086,0.17,DXA,orbit_cme_seed
Bone Age Study,77072,0.19,DXA,orbit_cme_seed
Bone Scan Limited,78300,0.60,BONE,orbit_cme_seed
Bone Scan Multiple Areas,78305,0.81,BONE,orbit_cme_seed
Bone Scan Whole Body,78306,0.84,BONE,orbit_cme_seed
Bone Scan 3-Phase,78315,0.99,BONE,orbit_cme_seed
Myocardial Perfusion SPECT Single,78451,1.35,CARDIAC,orbit_cme_seed
Myocardial Perfusion SPECT Multiple,78452,1.58,CARDIAC,orbit_cme_seed
Myocardial PET w/ CT Single,78429,1.72,CARDIAC,orbit_cme_seed
Myocardial PET Rest & Stress w/ CT,78431,1.85,CARDIAC,orbit_cme_seed
Myocardial PET w/ CT Multiple,78430,1.63,CARDIAC,orbit_cme_seed
Myocardial PET w/o CT Single,78432,2.02,CARDIAC,orbit_cme_seed
Myocardial PET w/o CT Multiple,78433,2.20,CARDIAC,orbit_cme_seed
Myocardial PET R&S w/o CT,78434,0.61,CARDIAC,orbit_cme_seed
MUGA Single,78472,0.96,CARDIAC,orbit_cme_seed
MUGA Multiple,78473,1.43,CARDIAC,orbit_cme_seed
Cardiac Shunt,78466,0.67,CARDIAC,orbit_cme_seed
Cardiac Flow Imaging,78468,0.78,CARDIAC,orbit_cme_seed
Cardiac Function Add-On,78469,0.90,CARDIAC,orbit_cme_seed
V/Q Ventilation Only,78579,0.48,LUNG,orbit_cme_seed
V/Q Perfusion Only,78580,0.72,LUNG,orbit_cme_seed
V/Q Scan,78582,1.04,LUNG,orbit_cme_seed
Lung Perfusion Quantitative,78597,0.73,LUNG,orbit_cme_seed
Lung Perfusion Quantitative + Ventilation,78598,0.83,LUNG,orbit_cme_seed
Thyroid Uptake Single,78012,0.19,THYROID,orbit_cme_seed
Thyroid Scan w/ Flow,78013,0.36,THYROID,orbit_cme_seed
Thyroid Scan w/ Flow & Uptake,78014,0.49,THYROID,orbit_cme_seed
Thyroid Metastatic Survey Limited,78015,0.65,THYROID,orbit_cme_seed
Thyroid Metastatic Survey Additional Studies,78016,0.80,THYROID,orbit_cme_seed
Thyroid Metastatic Survey Whole Body,78018,0.84,THYROID,orbit_cme_seed
Parathyroid Planar,78071,1.17,THYROID,orbit_cme_seed
Parathyroid SPECT/CT,78072,1.56,THYROID,orbit_cme_seed
Liver Scan Static,78201,0.43,GI,orbit_cme_seed
Liver Scan w/ Flow,78202,0.50,GI,orbit_cme_seed
Liver/Spleen Scan Static,78215,0.48,GI,orbit_cme_seed
Liver/Spleen Scan w/ Flow,78216,0.56,GI,orbit_cme_seed
Hepatobiliary (HIDA) Scan,78226,0.72,GI,orbit_cme_seed
Hepatobiliary (HIDA) w/ CCK,78227,0.88,GI,orbit_cme_seed
Gastric Emptying Study (GES),78264,0.77,GI,orbit_cme_seed
Gastric Emptying w/ Small Bowel,78265,0.96,GI,orbit_cme_seed
Gastric Emptying w/ Small + Large Bowel,78266,1.05,GI,orbit_cme_seed
Meckel Scan/GI Bleed,78278,0.97,GI,orbit_cme_seed
Tagged RBC Scan (GI Bleed),78290,0.66,GI,orbit_cme_seed
Renal Scan Static,78700,0.44,RENAL,orbit_cme_seed
Renal Scan w/ Flow,78707,0.94,RENAL,orbit_cme_seed
MAG3 Lasix Renogram,78708,1.18,RENAL,orbit_cme_seed
Renal Scan w/ Drug Addl,78709,1.37,RENAL,orbit_cme_seed
Renal Function (GFR),78725,0.37,RENAL,orbit_cme_seed
Renal Transplant Scan,78730,0.15,RENAL,orbit_cme_seed
Ureteral Reflux Study,78740,0.56,RENAL,orbit_cme_seed
PET Limited Area,78811,1.50,PET,orbit_cme_seed
PET Skull to Thigh,78812,1.88,PET,orbit_cme_seed
PET Whole Body,78813,1.95,PET,orbit_cme_seed
PET/CT Limited Area,78814,2.15,PET,orbit_cme_seed
PET/CT Skull to Thigh,78815,2.38,PET,orbit_cme_seed
PET/CT Whole Body,78816,2.44,PET,orbit_cme_seed
Brain PET,78608,1.46,BRAIN,orbit_cme_seed
Brain PET Metabolic,78609,1.46,BRAIN,orbit_cme_seed
SPECT/CT Single Area,78830,1.45,SPECT,orbit_cme_seed
SPECT 2+ Areas,78831,1.77,SPECT,orbit_cme_seed
SPECT/CT 2+ Areas,78832,2.07,SPECT,orbit_cme_seed
Adrenal Scan,78070,0.78,OTHER NM,orbit_cme_seed
Adrenal Scan w/ Drug,78075,0.72,OTHER NM,orbit_cme_seed
Bone Marrow Scan Limited,78104,0.78,BONE MARROW,orbit_cme_seed
Spleen Scan,78185,0.39,BONE MARROW,orbit_cme_seed
Lymph Scan,78195,1.17,BONE MARROW,orbit_cme_seed
Salivary Gland Scan,78230,0.44,BONE MARROW,orbit_cme_seed
Salivary Gland Scan Serial,78231,0.51,BONE MARROW,orbit_cme_seed
Salivary Gland Scan w/ Drug,78232,0.46,BONE MARROW,orbit_cme_seed
Bone Density NM,78350,0.21,BONE MARROW,orbit_cme_seed
Tumor Localization Limited,78800,0.62,BONE MARROW,orbit_cme_seed
Tumor Localization Multiple Areas,78801,0.71,BONE MARROW,orbit_cme_seed
Tumor Localization Whole Body,78802,0.78,BONE MARROW,orbit_cme_seed
Tumor SPECT,78803,1.06,BONE MARROW,orbit_cme_seed
Tumor SPECT/CT,78804,0.98,BONE MARROW,orbit_cme_seed
Brain Scan Static,78601,0.50,BRAIN,orbit_cme_seed
Brain Scan w/ Flow,78605,0.52,BRAIN,orbit_cme_seed
Brain Scan w/ Flow Quantitative,78606,0.62,BRAIN,orbit_cme_seed
