"friendly_exam_name","normalized_exam_name","cpt_codes","primary_cpt_code","modifier","modifier_26_wrvu","modality","body_region","contrast_status","cms_official_description","common_aliases","powerscribe_aliases","hospital_site_aliases","typical_combinations","active","created_at","updated_at"
"TTE w/ Doppler Complete","TTE W DOPPLER COMPLETE","[""93306-26""]","93306","26","1.42","OTHER","Chest","with","","[""TTE w/ Doppler Complete"",""TTE W DOPPLER COMPLETE""]","[]","[]","[]","true","2026-07-01T00:00:00Z","2026-07-01T00:00:00Z"
"TTE w/o Doppler Complete","TTE WO DOPPLER COMPLETE","[""93307-26""]","93307","26","0.9","OTHER","Chest","without","","[""TTE w/o Doppler Complete"",""TTE WO DOPPLER COMPLETE""]","[]","[]","[]","true","2026-07-01T00:00:00Z","2026-07-01T00:00:00Z"
"TTE Follow-Up / Limited","TTE FOLLOW UP LIMITED","[""93308-26""]","93308","26","0.52","OTHER","Chest","not_applicable","","[""TTE Follow-Up / Limited"",""TTE FOLLOW UP LIMITED""]","[]","[]","[]","true","2026-07-01T00:00:00Z","2026-07-01T00:00:00Z"
"TEE Complete","TEE COMPLETE","[""93312-26""]","93312","26","2.24","OTHER","Cardiac","not_applicable","","[""TEE Complete"",""TEE COMPLETE""]","[]","[]","[]","true","2026-07-01T00:00:00Z","2026-07-01T00:00:00Z"
"TEE w/ Probe","TEE W PROBE","[""93314-26""]","93314","26","1.8","OTHER","Cardiac","with","","[""TEE w/ Probe"",""TEE W PROBE""]","[]","[]","[]","true","2026-07-01T00:00:00Z","2026-07-01T00:00:00Z"
"TEE Congenital Complete","TEE CONGENITAL COMPLETE","[""93315-26""]","93315","26","2.62","OTHER","Cardiac","not_applicable","","[""TEE Congenital Complete"",""TEE CONGENITAL COMPLETE""]","[]","[]","[]","true","2026-07-01T00:00:00Z","2026-07-01T00:00:00Z"
"TEE Congenital w/ Probe","TEE CONGENITAL W PROBE","[""93317-26""]","93317","26","1.79","OTHER","Cardiac","with","","[""TEE Congenital w/ Probe"",""TEE CONGENITAL W PROBE""]","[]","[]","[]","true","2026-07-01T00:00:00Z","2026-07-01T00:00:00Z"
"TEE Intraoperative","TEE INTRAOPERATIVE","[""93318-26""]","93318","26","2.1","OTHER","Cardiac","not_applicable","","[""TEE Intraoperative"",""TEE INTRAOPERATIVE""]","[]","[]","[]","true","2026-07-01T00:00:00Z","2026-07-01T00:00:00Z"
"Doppler Echo Complete","DOPPLER ECHO COMPLETE","[""93320-26""]","93320","26","0.37","OTHER","Cardiac","not_applicable","","[""Doppler Echo Complete"",""DOPPLER ECHO COMPLETE""]","[]","[]","[]","true","2026-07-01T00:00:00Z","2026-07-01T00:00:00Z"
"Doppler Echo Limited","DOPPLER ECHO LIMITED","[""93321-26""]","93321","26","0.15","OTHER","Cardiac","not_applicable","","[""Doppler Echo Limited"",""DOPPLER ECHO LIMITED""]","[]","[]","[]","true","2026-07-01T00:00:00Z","2026-07-01T00:00:00Z"
"Color Flow Doppler","COLOR FLOW DOPPLER","[""93325-26""]","93325","26","0.07","OTHER","Doppler","not_applicable","","[""Color Flow Doppler"",""COLOR FLOW DOPPLER""]","[]","[]","[]","true","2026-07-01T00:00:00Z","2026-07-01T00:00:00Z"
